"Report_Name","Journal Article Requests"
"Report_ID","IR_A1"
"Release","5"
"Institution_Name","Johnson Matthey"
"Institution_ID","mu-0000036"
"Metric_Types","Total_Item_Requests"
"Report_Filters","Data_Type=Journal|Article; Access_Method=Regular"
"Report_Attributes",""
"Exceptions",""
"Reporting_Period","2018-01-01 to 2018-05-31"
"Created","2018-07-03"
"Created_By","MPS"

"Item","Publisher","Publisher_ID","Platform","Authors","Publication_Date","Article_Version","DOI","Proprietary_ID","ISBN","Print_ISSN","Online_ISSN","URI","Parent_Title","Parent_Data_Type","Parent_DOI","Parent_Proprietary_ID","Parent_ISBN","Parent_Print_ISSN","Parent_Online_ISSN","Parent_URI","Metric_Type","Reporting_Period_Total","Jan-2018","Feb-2018","Mar-2018","Apr-2018","May-2018"
"Electrochemical exfoliation of carbon dots with the narrowest full width at half maximum in their fluorescence spectra in the ultraviolet region using only water as electrolyte","","","rsc.org","Royal Society of Chemistry","2016","","10.1039/c6cc03080g","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","1","0","0","0","0","1"
"Enhancement of oxygen evolution performance through synergetic action between NiFe metal core and NiFeO  x   shell","","","rsc.org","Royal Society of Chemistry","2016","","10.1039/c6cc04951f","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","2","0","0","0","0","2"
"Stabilisation of metastable polymorphs: the case of paracetamol form III","","","rsc.org","Royal Society of Chemistry","2016","","10.1039/c6cc05006a","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","1","0","0","0","0","1"
"Three in one: prototropy-free highly stable AADD-type self-complementary quadruple hydrogen-bonded molecular duplexes with a built-in fluorophore","","","rsc.org","Royal Society of Chemistry","2017","","10.1039/c6cc09478c","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","1","0","0","0","0","1"
"Surface-selective direct 17O DNP NMR of CeO2 nanoparticles","","","rsc.org","Royal Society of Chemistry","2017","","10.1039/c6cc10145c","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","0","0","0","0","0","0"
"Synthesis of spiro-oxoindoles through Pd-catalyzed remote C–H alkylation using a-diazocarbonyl compounds","","","rsc.org","Royal Society of Chemistry","2017","","10.1039/c7cc00065k","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","1","0","0","0","0","1"
"Low-cost CuNi@MIL-101 as an excellent catalyst toward cascade reaction: integration of ammonia borane dehydrogenation with nitroarene hydrogenation","","","rsc.org","Royal Society of Chemistry","2017","","10.1039/c7cc06530b","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","1","0","0","0","0","1"
"Continuous purification of active pharmaceutical ingredients utilizing polymer membrane surface wettability","","","rsc.org","Royal Society of Chemistry","2018","","10.1039/c7cc08218e","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","0","0","0","0","0","0"
"Rhodium-mediated asymmetric transfer hydrogenation: a diastereo- and enantioselective synthesis of syn-a-amido ß-hydroxy esters","","","rsc.org","Royal Society of Chemistry","2018","","10.1039/c7cc08231b","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","1","0","0","0","0","1"
"Chiral triazolylidene-Pd-PEPPSI: synthesis, characterization, and application in asymmetric Suzuki–Miyaura cross-coupling","","","rsc.org","Royal Society of Chemistry","2018","","10.1039/c7cc09960f","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","2","0","0","0","0","2"
"Correction: Isoprene chain shuttling polymerisation between cis and trans regulating catalysts: straightforward access to a new material","","","rsc.org","Royal Society of Chemistry","2017","","10.1039/c7cc90207g","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","1","0","0","0","0","1"
"Highlights from the Faraday Discussion: Bio-resources: Feeding a Sustainable Chemical Industry, 19–21 June 2017, London, UK","","","rsc.org","Royal Society of Chemistry","2017","","10.1039/c7cc90438j","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","1","0","0","0","0","1"
"Piperidinium ionic liquids as electrolyte solvents for sustained high temperature supercapacitor operation","","","rsc.org","Royal Society of Chemistry","2018","","10.1039/c8cc01093e","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","1","0","0","0","0","1"
"Photoactivation of imatinib–antibody conjugate using low-energy visible light from Ru(ii)-polypyridyl cages","","","rsc.org","Royal Society of Chemistry","2018","","10.1039/c8cc01348a","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","1","0","0","0","0","1"
"First identification of unstable phosphino formic acid (H2PCOOH)","","","rsc.org","Royal Society of Chemistry","2018","","10.1039/c8cc01391h","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","0","0","0","0","0","0"
"Photochemical reductive homologation of hydrogen cyanide using sulfite and ferrocyanide","","","rsc.org","Royal Society of Chemistry","2018","","10.1039/c8cc01499j","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","0","0","0","0","0","0"
"Recent developments in actinide metallacycles","","","rsc.org","Royal Society of Chemistry","2018","","10.1039/c8cc01516c","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","1","0","0","0","0","1"
"Rhodium-catalyzed asymmetric hydroboration of ?,d-unsaturated amide derivatives: d-borylated amides","","","rsc.org","Royal Society of Chemistry","2018","","10.1039/c8cc01563e","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","0","0","0","0","0","0"
"Highly enantioselective transfer hydrogenation of racemic a-substituted ß-keto sulfonamides via dynamic kinetic resolution","","","rsc.org","Royal Society of Chemistry","2018","","10.1039/c8cc01643g","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","1","0","0","0","0","1"
"Redox properties of alluaudite sodium cobalt manganese sulfates as high-voltage electrodes for rechargeable batteries","","","rsc.org","Royal Society of Chemistry","2018","","10.1039/c8cc01922c","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","1","0","0","0","0","1"
"The mechanochemical Scholl reaction – a solvent-free and versatile graphitization tool","","","rsc.org","Royal Society of Chemistry","2018","","10.1039/c8cc01993b","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","0","0","0","0","0","0"
"Self-assembled inorganic clusters of semiconducting quantum dots for effective solar hydrogen evolution","","","rsc.org","Royal Society of Chemistry","2018","","10.1039/c8cc02091d","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","0","0","0","0","0","0"
"A dual-function fluorescent probe for monitoring the degrees of hypoxia in living cells via the imaging of nitroreductase and adenosine triphosphate","","","rsc.org","Royal Society of Chemistry","2018","","10.1039/c8cc02209g","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","0","0","0","0","0","0"
"EU-7 zeolite: a synthetic BIK type zeolite with high hydrothermal stability","","","rsc.org","Royal Society of Chemistry","2018","","10.1039/c8cc02227e","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","1","0","0","0","0","1"
"The limits to biocatalysis: pushing the envelope","","","rsc.org","Royal Society of Chemistry","2018","","10.1039/c8cc02463d","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","1","0","0","0","0","1"
"PET-RAFT polymerisation: towards green and precision polymer manufacturing","","","rsc.org","Royal Society of Chemistry","2018","","10.1039/c8cc02783h","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","0","0","0","0","0","0"
"High-throughput screening of solid-state catalysts for nerve agent degradation","","","rsc.org","Royal Society of Chemistry","2018","","10.1039/c8cc03255f","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","3","0","0","0","0","3"
"Controlled photorelease of alkynoic acids and their decarboxylative deprotection for copper-catalyzed azide/alkyne cycloaddition","","","rsc.org","Royal Society of Chemistry","2018","","10.1039/c8cc03341b","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","0","0","0","0","0","0"
"Highlights from the Faraday Discussion on Ionic Liquids: From Fundamental Properties to Practical Applications, Cambridge, UK, September 2017","","","rsc.org","Royal Society of Chemistry","2018","","10.1039/c8cc90189a","","","1359-7345","1364-548X","","Chemical Communications","Journal","10.1039/1364-548X/1996","","","1359-7345","1364-548X","","Total_Item_Requests","1","0","0","0","0","1"
"Complexes as metalloligands in network formation: synthesis and characterisation of a mixed-metal coordination network containing palladium and zinc","","","rsc.org","Royal Society of Chemistry","2008","","10.1039/b718961c","","","","1466-8033","","CrystEngComm","Journal","10.1039/1466-8033/1999","","","","1466-8033","","Total_Item_Requests","1","0","0","0","0","1"
"Simple and quantitative mechanochemical preparation of the first zinc and copper complexes of the neuroleptic drug gabapentin","","","rsc.org","Royal Society of Chemistry","2008","","10.1039/b719451j","","","","1466-8033","","CrystEngComm","Journal","10.1039/1466-8033/1999","","","","1466-8033","","Total_Item_Requests","2","0","0","0","0","2"
"Probing the influence of electronic effects of organic additives on the morphology of sodium chloride crystals: a combined experimental and computational study","","","rsc.org","Royal Society of Chemistry","2010","","10.1039/c004200e","","","","1466-8033","","CrystEngComm","Journal","10.1039/1466-8033/1999","","","","1466-8033","","Total_Item_Requests","1","0","0","0","0","1"
"Controlling ZIF-8 nano- and microcrystal formation and reactivity through zinc salt variations","","","rsc.org","Royal Society of Chemistry","2014","","10.1039/c3ce42485e","","","","1466-8033","","CrystEngComm","Journal","10.1039/1466-8033/1999","","","","1466-8033","","Total_Item_Requests","0","0","0","0","0","0"
"Crystal form selectivity by humidity control: the case of the ionic co-crystals of nicotinamide and CaCl2","","","rsc.org","Royal Society of Chemistry","2014","","10.1039/c4ce00464g","","","","1466-8033","","CrystEngComm","Journal","10.1039/1466-8033/1999","","","","1466-8033","","Total_Item_Requests","0","0","0","0","0","0"
"Surfactant-assisted synthesis of ZIF-8 nanocrystals in aqueous solution via microwave irradiation","","","rsc.org","Royal Society of Chemistry","2014","","10.1039/c4ce00947a","","","","1466-8033","","CrystEngComm","Journal","10.1039/1466-8033/1999","","","","1466-8033","","Total_Item_Requests","1","0","0","0","0","1"
"Influence of alkali metal cations on the formation of zeolites under hydrothermal conditions with no organic structure directing agents","","","rsc.org","Royal Society of Chemistry","2015","","10.1039/c4ce02119c","","","","1466-8033","","CrystEngComm","Journal","10.1039/1466-8033/1999","","","","1466-8033","","Total_Item_Requests","1","0","0","0","0","1"
"Electron density distribution studies as a tool to explore the behaviour of thiourea-based anion receptors","","","rsc.org","Royal Society of Chemistry","2015","","10.1039/c5ce00213c","","","","1466-8033","","CrystEngComm","Journal","10.1039/1466-8033/1999","","","","1466-8033","","Total_Item_Requests","1","0","0","0","0","1"
"The role of surface chemistry in crystal morphology and its associated properties","","","rsc.org","Royal Society of Chemistry","2015","","10.1039/c5ce01182e","","","","1466-8033","","CrystEngComm","Journal","10.1039/1466-8033/1999","","","","1466-8033","","Total_Item_Requests","1","0","0","0","0","1"
"An elaborate structure investigation of the chiral polymorph A-enriched zeolite beta","","","rsc.org","Royal Society of Chemistry","2016","","10.1039/c6ce00043f","","","","1466-8033","","CrystEngComm","Journal","10.1039/1466-8033/1999","","","","1466-8033","","Total_Item_Requests","1","0","0","0","0","1"
"Anhydrous ionic co-crystals of cyanuric acid with LiCl and NaCl","","","rsc.org","Royal Society of Chemistry","2017","","10.1039/c7ce00037e","","","","1466-8033","","CrystEngComm","Journal","10.1039/1466-8033/1999","","","","1466-8033","","Total_Item_Requests","1","0","0","0","0","1"
"Quantitative investigation of C–H?p and other intermolecular interactions in a series of crystalline N-(substituted phenyl)-2-naphthamide derivatives","","","rsc.org","Royal Society of Chemistry","2017","","10.1039/c7ce01310h","","","","1466-8033","","CrystEngComm","Journal","10.1039/1466-8033/1999","","","","1466-8033","","Total_Item_Requests","2","0","0","0","0","2"
"Molecular structure and hydrogen bond interactions of a paracetamol–4,4'-bipyridine cocrystal studied using a vibrational spectroscopic and quantum chemical approach","","","rsc.org","Royal Society of Chemistry","2018","","10.1039/c7ce01505d","","","","1466-8033","","CrystEngComm","Journal","10.1039/1466-8033/1999","","","","1466-8033","","Total_Item_Requests","0","0","0","0","0","0"
"Cocrystal structure design for CH5134731 based on isomorphism","","","rsc.org","Royal Society of Chemistry","2018","","10.1039/c7ce01878a","","","","1466-8033","","CrystEngComm","Journal","10.1039/1466-8033/1999","","","","1466-8033","","Total_Item_Requests","1","0","0","0","0","1"
"Co-crystals and salts of vanillic acid and vanillin with amines","","","rsc.org","Royal Society of Chemistry","2018","","10.1039/c7ce02022h","","","","1466-8033","","CrystEngComm","Journal","10.1039/1466-8033/1999","","","","1466-8033","","Total_Item_Requests","1","0","0","0","0","1"
"Property prediction and pharmacokinetic evaluation of mixed stoichiometry cocrystals of zafirlukast, a drug delivery case study","","","rsc.org","Royal Society of Chemistry","2018","","10.1039/c7ce02059g","","","","1466-8033","","CrystEngComm","Journal","10.1039/1466-8033/1999","","","","1466-8033","","Total_Item_Requests","0","0","0","0","0","0"
"Weak interactions cause selective cocrystal formation of lanthanide nitrates and tetra-2-pyridinylpyrazine","","","rsc.org","Royal Society of Chemistry","2018","","10.1039/c7ce02098h","","","","1466-8033","","CrystEngComm","Journal","10.1039/1466-8033/1999","","","","1466-8033","","Total_Item_Requests","0","0","0","0","0","0"
"Cocrystals of zileuton with enhanced physical stability","","","rsc.org","Royal Society of Chemistry","2018","","10.1039/c7ce02150j","","","","1466-8033","","CrystEngComm","Journal","10.1039/1466-8033/1999","","","","1466-8033","","Total_Item_Requests","0","0","0","0","0","0"
"Solid state transformations of different stoichiometric forms of an organic salt formed from 5-sulfosalicylic acid and hexamethylenetetramine upon dehydration and rehydration","","","rsc.org","Royal Society of Chemistry","2018","","10.1039/c8ce00022k","","","","1466-8033","","CrystEngComm","Journal","10.1039/1466-8033/1999","","","","1466-8033","","Total_Item_Requests","0","0","0","0","0","0"
"Organic–inorganic ionic co-crystals: a new class of multipurpose compounds","","","rsc.org","Royal Society of Chemistry","2018","","10.1039/c8ce00304a","","","","1466-8033","","CrystEngComm","Journal","10.1039/1466-8033/1999","","","","1466-8033","","Total_Item_Requests","1","0","0","0","0","1"
"Mechanochemical syntheses and 35Cl solid-state NMR characterization of fluoxetine HCl cocrystals","","","rsc.org","Royal Society of Chemistry","2018","","10.1039/c8ce00378e","","","","1466-8033","","CrystEngComm","Journal","10.1039/1466-8033/1999","","","","1466-8033","","Total_Item_Requests","1","0","0","0","0","1"
"Choice of hydrogen bonds or halogen bonds by 2-halogenated 5-morpholinomethylphenyl triazolo[1,5-a]pyridine","","","rsc.org","Royal Society of Chemistry","2018","","10.1039/c8ce00423d","","","","1466-8033","","CrystEngComm","Journal","10.1039/1466-8033/1999","","","","1466-8033","","Total_Item_Requests","1","0","0","0","0","1"
"Estimation of mean size and shape of small metal particles by EXAFS","","","rsc.org","Royal Society of Chemistry","1999","","10.1039/a904654b","","","1463-9076","1463-9084","","Physical Chemistry Chemical Physics","Journal","10.1039/1463-9084/1999","","","1463-9076","1463-9084","","Total_Item_Requests","3","0","0","0","0","3"
"Theoretical prediction of hydrogen bond donor capacity","","","rsc.org","Royal Society of Chemistry","2000","","10.1039/a908853i","","","1463-9076","1463-9084","","Physical Chemistry Chemical Physics","Journal","10.1039/1463-9084/1999","","","1463-9076","1463-9084","","Total_Item_Requests","1","0","0","0","0","1"
"Characterization and catalytic properties of Ni–Sn intermetallic compounds in acetylene hydrogenation","","","rsc.org","Royal Society of Chemistry","2000","","10.1039/b001381l","","","1463-9076","1463-9084","","Physical Chemistry Chemical Physics","Journal","10.1039/1463-9084/1999","","","1463-9076","1463-9084","","Total_Item_Requests","0","0","0","0","0","0"
"The effect of stirring on the synthesis of intergrowths of zeolite Y polymorphs","","","rsc.org","Royal Society of Chemistry","2000","","10.1039/b002314k","","","1463-9076","1463-9084","","Physical Chemistry Chemical Physics","Journal","10.1039/1463-9084/1999","","","1463-9076","1463-9084","","Total_Item_Requests","0","0","0","0","0","0"
"Infrared and volumetric study of NO adsorption on Pd-H-ZSM-5","","","rsc.org","Royal Society of Chemistry","2001","","10.1039/b009782i","","","1463-9076","1463-9084","","Physical Chemistry Chemical Physics","Journal","10.1039/1463-9084/1999","","","1463-9076","1463-9084","","Total_Item_Requests","0","0","0","0","0","0"
"An NMR study of the nitration of toluene over zeolites by HNO3–Ac2O","","","rsc.org","Royal Society of Chemistry","2001","","10.1039/b103821b","","","1463-9076","1463-9084","","Physical Chemistry Chemical Physics","Journal","10.1039/1463-9084/1999","","","1463-9076","1463-9084","","Total_Item_Requests","1","0","0","0","0","1"
"Temperature-programmed reduction and oxidation experiments with V2O5/TiO2 catalysts","","","rsc.org","Royal Society of Chemistry","2001","","10.1039/b105466j","","","1463-9076","1463-9084","","Physical Chemistry Chemical Physics","Journal","10.1039/1463-9084/1999","","","1463-9076","1463-9084","","Total_Item_Requests","1","0","0","0","0","1"
"Microstructural studies of the copper promoted iron oxide/chromia water-gas shift catalyst","","","rsc.org","Royal Society of Chemistry","2002","","10.1039/b202347b","","","1463-9076","1463-9084","","Physical Chemistry Chemical Physics","Journal","10.1039/1463-9084/1999","","","1463-9076","1463-9084","","Total_Item_Requests","2","0","0","0","0","2"
"Studies of the role of the copper promoter in the iron oxide/chromia high temperature water gas shift catalyst","","","rsc.org","Royal Society of Chemistry","2003","","10.1039/b303236c","","","1463-9076","1463-9084","","Physical Chemistry Chemical Physics","Journal","10.1039/1463-9084/1999","","","1463-9076","1463-9084","","Total_Item_Requests","2","0","0","0","0","2"
"Role of Pt in Pt/Ba/Al2O3 NO x  storage and reduction traps","","","rsc.org","Royal Society of Chemistry","2003","","10.1039/b305809n","","","1463-9076","1463-9084","","Physical Chemistry Chemical Physics","Journal","10.1039/1463-9084/1999","","","1463-9076","1463-9084","","Total_Item_Requests","1","0","0","0","0","1"
"Studying the NO x -trap mechanism over a Pt-Rh/Ba/Al2O3 catalyst by operando FT-IR spectroscopy","","","rsc.org","Royal Society of Chemistry","2003","","10.1039/b305874n","","","1463-9076","1463-9084","","Physical Chemistry Chemical Physics","Journal","10.1039/1463-9084/1999","","","1463-9076","1463-9084","","Total_Item_Requests","1","0","0","0","0","1"
"Preparation of alumina through a sol–gel process. Synthesis, characterization, thermal evolution and model of intermediate boehmite","","","rsc.org","Royal Society of Chemistry","2003","","10.1039/b306170a","","","1463-9076","1463-9084","","Physical Chemistry Chemical Physics","Journal","10.1039/1463-9084/1999","","","1463-9076","1463-9084","","Total_Item_Requests","1","0","0","0","0","1"
"Determining the active site in a catalytic process: Operando spectroscopy is more than a buzzword","","","rsc.org","Royal Society of Chemistry","2003","","10.1039/b309650p","","","1463-9076","1463-9084","","Physical Chemistry Chemical Physics","Journal","10.1039/1463-9084/1999","","","1463-9076","1463-9084","","Total_Item_Requests","1","0","0","0","0","1"
"Operando spectroscopy: fundamental and technical aspects of spectroscopy of catalysts under working conditions","","","rsc.org","Royal Society of Chemistry","2003","","10.1039/b309654h","","","1463-9076","1463-9084","","Physical Chemistry Chemical Physics","Journal","10.1039/1463-9084/1999","","","1463-9076","1463-9084","","Total_Item_Requests","0","0","0","0","0","0"
"Catalytic ammonia oxidation on platinum: mechanism and catalyst restructuring at high and low pressure","","","rsc.org","Royal Society of Chemistry","2007","","10.1039/b700866j","","","1463-9076","1463-9084","","Physical Chemistry Chemical Physics","Journal","10.1039/1463-9084/1999","","","1463-9076","1463-9084","","Total_Item_Requests","2","0","0","0","0","2"
"Characterization of Fe sites in Fe-zeolites by FTIR spectroscopy of adsorbed NO: are the spectra obtained in static vacuum and dynamic flow set-ups comparable?","","","rsc.org","Royal Society of Chemistry","2010","","10.1039/b917646m","","","1463-9076","1463-9084","","Physical Chemistry Chemical Physics","Journal","10.1039/1463-9084/1999","","","1463-9076","1463-9084","","Total_Item_Requests","1","0","0","0","0","1"
"High power pulsed dynamic nuclear polarisation at 94 GHz","","","rsc.org","Royal Society of Chemistry","2010","","10.1039/c002251a","","","1463-9076","1463-9084","","Physical Chemistry Chemical Physics","Journal","10.1039/1463-9084/1999","","","1463-9076","1463-9084","","Total_Item_Requests","0","0","0","0","0","0"
"Solid-state dynamic nuclear polarization at 263 GHz: spectrometer design and experimental results","","","rsc.org","Royal Society of Chemistry","2010","","10.1039/c003685b","","","1463-9076","1463-9084","","Physical Chemistry Chemical Physics","Journal","10.1039/1463-9084/1999","","","1463-9076","1463-9084","","Total_Item_Requests","0","0","0","0","0","0"
"Acid properties of solid acid catalysts characterized by solid-state 31P NMR of adsorbed phosphorous probe molecules","","","rsc.org","Royal Society of Chemistry","2011","","10.1039/c1cp20417c","","","1463-9076","1463-9084","","Physical Chemistry Chemical Physics","Journal","10.1039/1463-9084/1999","","","1463-9076","1463-9084","","Total_Item_Requests","0","0","0","0","0","0"
"Universal transition state scaling relations for (de)hydrogenation over transition metals","","","rsc.org","Royal Society of Chemistry","2011","","10.1039/c1cp20547a","","","1463-9076","1463-9084","","Physical Chemistry Chemical Physics","Journal","10.1039/1463-9084/1999","","","1463-9076","1463-9084","","Total_Item_Requests","1","0","0","0","0","1"
"A method for creating a non-equilibrium NT(P  1-P  2) ensemble in molecular dynamics simulation","","","rsc.org","Royal Society of Chemistry","2011","","10.1039/c1cp21492f","","","1463-9076","1463-9084","","Physical Chemistry Chemical Physics","Journal","10.1039/1463-9084/1999","","","1463-9076","1463-9084","","Total_Item_Requests","1","0","0","0","0","1"
"Synthesis of gold@carbon dots composite nanoparticles for surface enhanced Raman scattering","","","rsc.org","Royal Society of Chemistry","2012","","10.1039/c2cp40767a","","","1463-9076","1463-9084","","Physical Chemistry Chemical Physics","Journal","10.1039/1463-9084/1999","","","1463-9076","1463-9084","","Total_Item_Requests","1","0","0","0","0","1"
"Identifying active surface phases for metal oxide electrocatalysts: a study of manganese oxide bi-functional catalysts for oxygen reduction and water oxidation catalysis","","","rsc.org","Royal Society of Chemistry","2012","","10.1039/c2cp40841d","","","1463-9076","1463-9084","","Physical Chemistry Chemical Physics","Journal","10.1039/1463-9084/1999","","","1463-9076","1463-9084","","Total_Item_Requests","1","0","0","0","0","1"
"The stability of the SEI layer, surface composition and the oxidation state of transition metals at the electrolyte–cathode interface impacted by the electrochemical cycling: X-ray photoelectron spectroscopy investigation","","","rsc.org","Royal Society of Chemistry","2012","","10.1039/c2cp41134b","","","1463-9076","1463-9084","","Physical Chemistry Chemical Physics","Journal","10.1039/1463-9084/1999","","","1463-9076","1463-9084","","Total_Item_Requests","1","0","0","0","0","1"
"Molecular-level characterization of the structure and the surface chemistry of periodic mesoporous organosilicates using DNP-surface enhanced NMR spectroscopy","","","rsc.org","Royal Society of Chemistry","2013","","10.1039/c3cp00026e","","","1463-9076","1463-9084","","Physical Chemistry Chemical Physics","Journal","10.1039/1463-9084/1999","","","1463-9076","1463-9084","","Total_Item_Requests","0","0","0","0","0","0"
"Pair distribution function (PDF) analysis of mesoporous a-Fe2O3 and Cr2O3","","","rsc.org","Royal Society of Chemistry","2013","","10.1039/c3cp44322a","","","1463-9076","1463-9084","","Physical Chemistry Chemical Physics","Journal","10.1039/1463-9084/1999","","","1463-9076","1463-9084","","Total_Item_Requests","1","0","0","0","0","1"
"Hydrogenolysis of ethylene glycol to methanol over modified RANEY® catalysts","","","rsc.org","Royal Society of Chemistry","2013","","10.1039/c3cp51619a","","","1463-9076","1463-9084","","Physical Chemistry Chemical Physics","Journal","10.1039/1463-9084/1999","","","1463-9076","1463-9084","","Total_Item_Requests","1","0","0","0","0","1"
"Water adsorption in hydrophilic zeolites: experiment and simulation","","","rsc.org","Royal Society of Chemistry","2013","","10.1039/c3cp52910j","","","1463-9076","1463-9084","","Physical Chemistry Chemical Physics","Journal","10.1039/1463-9084/1999","","","1463-9076","1463-9084","","Total_Item_Requests","0","0","0","0","0","0"
"A critical review on lithium–air battery electrolytes","","","rsc.org","Royal Society of Chemistry","2014","","10.1039/c3cp54165g","","","1463-9076","1463-9084","","Physical Chemistry Chemical Physics","Journal","10.1039/1463-9084/1999","","","1463-9076","1463-9084","","Total_Item_Requests","1","0","0","0","0","1"
"Metal-enhanced fluorescence","","","rsc.org","Royal Society of Chemistry","2013","","10.1039/c3cp90129g","","","1463-9076","1463-9084","","Physical Chemistry Chemical Physics","Journal","10.1039/1463-9084/1999","","","1463-9076","1463-9084","","Total_Item_Requests","1","0","0","0","0","1"
"Beyond the volcano limitations in electrocatalysis – oxygen evolution reaction","","","rsc.org","Royal Society of Chemistry","2014","","10.1039/c4cp00571f","","","1463-9076","1463-9084","","Physical Chemistry Chemical Physics","Journal","10.1039/1463-9084/1999","","","1463-9076","1463-9084","","Total_Item_Requests","2","0","0","0","0","2"
"The influence of the Hubbard U parameter in simulating the catalytic behaviour of cerium oxide","","","rsc.org","Royal Society of Chemistry","2014","","10.1039/c4cp00928b","","","1463-9076","1463-9084","","Physical Chemistry Chemical Physics","Journal","10.1039/1463-9084/1999","","","1463-9076","1463-9084","","Total_Item_Requests","0","0","0","0","0","0"
"Uncovering the roles of oxygen vacancies in cation migration in lithium excess layered oxides","","","rsc.org","Royal Society of Chemistry","2014","","10.1039/c4cp01799d","","","1463-9076","1463-9084","","Physical Chemistry Chemical Physics","Journal","10.1039/1463-9084/1999","","","1463-9076","1463-9084","","Total_Item_Requests","1","0","0","0","0","1"
"Halogen bonding interaction of chloromethane with several nitrogen donating molecules: addressing the nature of the chlorine surface s-hole","","","rsc.org","Royal Society of Chemistry","2014","","10.1039/c4cp02663b","","","1463-9076","1463-9084","","Physical Chemistry Chemical Physics","Journal","10.1039/1463-9084/1999","","","1463-9076","1463-9084","","Total_Item_Requests","1","0","0","0","0","1"
"Investigation of the bulk and surface properties of CdSe: insights from theory","","","rsc.org","Royal Society of Chemistry","2014","","10.1039/c4cp02886d","","","1463-9076","1463-9084","","Physical Chemistry Chemical Physics","Journal","10.1039/1463-9084/1999","","","1463-9076","1463-9084","","Total_Item_Requests","0","0","0","0","0","0"
