"Report_Name","Journal Article Requests"
"Report_ID","IR_A1"
"Release","5"
"Institution_Name","Stanford University"
"Institution_ID","rsc:2472"
"Metric_Types","Total_Item_Requests"
"Report_Filters","Data_Type=Journal|Article; Section_Type=Article; Access_Method=Regular"
"Report_Attributes",""
"Exceptions",""
"Reporting_Period","Begin_Date=2018-01-01; End_Date=2018-06-30"
"Created","2018-08-22"
"Created_By","MPS"

"Item","Publisher","Publisher_ID","Platform","Authors","Publication_Date","Article_Version","DOI","Proprietary_ID","ISBN","Print_ISSN","Online_ISSN","URI","Parent_Title","Parent_Data_Type","Parent_DOI","Parent_Proprietary_ID","Parent_ISBN","Parent_Print_ISSN","Parent_Online_ISSN","Parent_URI","Metric_Type","Reporting_Period_Total","Jan-2018","Feb-2018","Mar-2018","Apr-2018","May-2018","Jun-2018"
"Cooperative bimetallic reactivity of a heterodinuclear molybdenum–copper model of Mo–Cu CODH","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2018","0","10.1039/c8dt02323a","","","1477-9226","1477-9234","","Dalton Transactions","Journal","10.1039/1477-9234/2003","","","1477-9226","1477-9234","","Total_Item_Requests","1","0","0","0","0","0","1"
"Electrospun nanofibers in energy and environmental applications","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2008","0","10.1039/b809074m","","","1754-5692","1754-5706","","Energy & Environmental Science","Journal","10.1039/1754-5706/2008","","","1754-5692","1754-5706","","Total_Item_Requests","1","0","0","0","0","0","1"
"Size effects and nanostructured materials for energy applications","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2008","0","10.1039/b809078p","","","1754-5692","1754-5706","","Energy & Environmental Science","Journal","10.1039/1754-5706/2008","","","1754-5692","1754-5706","","Total_Item_Requests","2","0","0","0","0","0","2"
"A comparative study of the hydrated morphologies of perfluorosulfonic acid fuel cell membranes with mesoscopic simulations","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2008","0","10.1039/b809600g","","","1754-5692","1754-5706","","Energy & Environmental Science","Journal","10.1039/1754-5706/2008","","","1754-5692","1754-5706","","Total_Item_Requests","2","0","0","0","0","0","2"
"Impedance spectroscopy characterisation of highly efficient silicon solar cells under different light illumination intensities","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2009","0","10.1039/b812468j","","","1754-5692","1754-5706","","Energy & Environmental Science","Journal","10.1039/1754-5706/2008","","","1754-5692","1754-5706","","Total_Item_Requests","4","0","0","0","0","0","4"
"Organic tandem solar cells: A review","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2009","0","10.1039/b817952b","","","1754-5692","1754-5706","","Energy & Environmental Science","Journal","10.1039/1754-5706/2008","","","1754-5692","1754-5706","","Total_Item_Requests","2","0","0","0","0","0","2"
"Bulk nanostructured thermoelectric materials: current research and future prospects","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2009","0","10.1039/b822664b","","","1754-5692","1754-5706","","Energy & Environmental Science","Journal","10.1039/1754-5706/2008","","","1754-5692","1754-5706","","Total_Item_Requests","4","0","0","0","0","0","4"
"A completely anoxic microbial fuel cell using a photo-biocathode for cathodic carbon dioxide reduction","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2009","0","10.1039/b901069f","","","1754-5692","1754-5706","","Energy & Environmental Science","Journal","10.1039/1754-5706/2008","","","1754-5692","1754-5706","","Total_Item_Requests","1","0","0","0","0","0","1"
"Fusion energy without radioactivity: laser ignition of solid hydrogen–boron (11) fuel","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2010","0","10.1039/b904609g","","","1754-5692","1754-5706","","Energy & Environmental Science","Journal","10.1039/1754-5706/2008","","","1754-5692","1754-5706","","Total_Item_Requests","1","0","0","0","0","0","1"
"Green Chemistry: A design framework for sustainability","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2009","0","10.1039/b904997p","","","1754-5692","1754-5706","","Energy & Environmental Science","Journal","10.1039/1754-5706/2008","","","1754-5692","1754-5706","","Total_Item_Requests","1","0","0","0","0","0","1"
"Potential applications of hierarchical branching nanowires in solar energy conversion","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2009","0","10.1039/b912095e","","","1754-5692","1754-5706","","Energy & Environmental Science","Journal","10.1039/1754-5706/2008","","","1754-5692","1754-5706","","Total_Item_Requests","1","0","0","0","0","0","1"
"The teraton challenge. A review of fixation and transformation of carbon dioxide","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2010","0","10.1039/b912904a","","","1754-5692","1754-5706","","Energy & Environmental Science","Journal","10.1039/1754-5706/2008","","","1754-5692","1754-5706","","Total_Item_Requests","2","0","0","0","0","0","2"
"Underground coal gasification with CCS: a pathway to decarbonising industry","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2010","0","10.1039/b921197g","","","1754-5692","1754-5706","","Energy & Environmental Science","Journal","10.1039/1754-5706/2008","","","1754-5692","1754-5706","","Total_Item_Requests","1","0","0","0","0","0","1"
"Morphology controlled synthesis of LiFePO4/C nanoplates for Li-ion batteries","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2010","0","10.1039/b923576k","","","1754-5692","1754-5706","","Energy & Environmental Science","Journal","10.1039/1754-5706/2008","","","1754-5692","1754-5706","","Total_Item_Requests","1","0","0","0","0","0","1"
"Sustainable transportation based on electric vehicle concepts: a brief overview","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2010","0","10.1039/c001674h","","","1754-5692","1754-5706","","Energy & Environmental Science","Journal","10.1039/1754-5706/2008","","","1754-5692","1754-5706","","Total_Item_Requests","1","0","0","0","0","0","1"
"Comparative study of solvent properties for carbon dioxide absorption","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2010","0","10.1039/c002915g","","","1754-5692","1754-5706","","Energy & Environmental Science","Journal","10.1039/1754-5706/2008","","","1754-5692","1754-5706","","Total_Item_Requests","3","0","0","0","0","0","3"
"Mesoporous TiO2 with high packing density for superior lithium storage","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2010","0","10.1039/c003630g","","","1754-5692","1754-5706","","Energy & Environmental Science","Journal","10.1039/1754-5706/2008","","","1754-5692","1754-5706","","Total_Item_Requests","1","0","0","0","0","0","1"
"Development and challenges of LiFePO4 cathode material for lithium-ion batteries","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2011","0","10.1039/c0ee00029a","","","1754-5692","1754-5706","","Energy & Environmental Science","Journal","10.1039/1754-5706/2008","","","1754-5692","1754-5706","","Total_Item_Requests","1","0","0","0","0","0","1"
"How copper catalyzes the electroreduction of carbon dioxide into hydrocarbon fuels","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2010","0","10.1039/c0ee00071j","","","1754-5692","1754-5706","","Energy & Environmental Science","Journal","10.1039/1754-5706/2008","","","1754-5692","1754-5706","","Total_Item_Requests","19","0","0","0","0","0","19"
"Nano magnetite decorated multiwalled carbon nanotubes: a robust nanomaterial for enhanced carbon dioxide adsorption","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2011","0","10.1039/c0ee00076k","","","1754-5692","1754-5706","","Energy & Environmental Science","Journal","10.1039/1754-5706/2008","","","1754-5692","1754-5706","","Total_Item_Requests","2","0","0","0","0","0","2"
"Continuous production of 5-hydroxymethylfurfural from fructose: a design case study","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2010","0","10.1039/c0ee00082e","","","1754-5692","1754-5706","","Energy & Environmental Science","Journal","10.1039/1754-5706/2008","","","1754-5692","1754-5706","","Total_Item_Requests","5","0","0","0","0","0","5"
"One-dimensional noble metal electrocatalysts: a promising structural paradigm for direct methanol fuel cells","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2011","0","10.1039/c0ee00197j","","","1754-5692","1754-5706","","Energy & Environmental Science","Journal","10.1039/1754-5706/2008","","","1754-5692","1754-5706","","Total_Item_Requests","1","0","0","0","0","0","1"
"Nanostructured silicon for high capacity lithium battery anodes","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2011","0","10.1039/c0ee00281j","","","1754-5692","1754-5706","","Energy & Environmental Science","Journal","10.1039/1754-5706/2008","","","1754-5692","1754-5706","","Total_Item_Requests","3","0","0","0","0","0","3"
"High thermoelectric figure of merit in heavy hole dominated PbTe","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2011","0","10.1039/c0ee00456a","","","1754-5692","1754-5706","","Energy & Environmental Science","Journal","10.1039/1754-5706/2008","","","1754-5692","1754-5706","","Total_Item_Requests","2","0","0","0","0","0","2"
"A review of water treatment membrane nanotechnologies","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2011","0","10.1039/c0ee00541j","","","1754-5692","1754-5706","","Energy & Environmental Science","Journal","10.1039/1754-5706/2008","","","1754-5692","1754-5706","","Total_Item_Requests","2","0","0","0","0","0","2"
"Advanced carbon aerogels for energy applications","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2011","0","10.1039/c0ee00627k","","","1754-5692","1754-5706","","Energy & Environmental Science","Journal","10.1039/1754-5706/2008","","","1754-5692","1754-5706","","Total_Item_Requests","1","0","0","0","0","0","1"
"Porous LiMn2O4 as cathode material with high power and excellent cycling for aqueous rechargeable lithium batteries","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2011","0","10.1039/c0ee00673d","","","1754-5692","1754-5706","","Energy & Environmental Science","Journal","10.1039/1754-5706/2008","","","1754-5692","1754-5706","","Total_Item_Requests","1","0","0","0","0","0","1"
"Oxygen diffusion in solid oxide fuel cell cathode and electrolyte materials: mechanistic insights from atomistic simulations","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2011","0","10.1039/c0ee00717j","","","1754-5692","1754-5706","","Energy & Environmental Science","Journal","10.1039/1754-5706/2008","","","1754-5692","1754-5706","","Total_Item_Requests","6","0","0","0","0","0","6"
"Heterojunction BiVO4/WO3 electrodes for enhanced photoactivity of water oxidation","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2011","0","10.1039/c0ee00743a","","","1754-5692","1754-5706","","Energy & Environmental Science","Journal","10.1039/1754-5706/2008","","","1754-5692","1754-5706","","Total_Item_Requests","2","0","0","0","0","0","2"
"Carbon-free energy: a review of ammonia- and hydrazine-based electrochemical fuel cells","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2011","0","10.1039/c0ee00809e","","","1754-5692","1754-5706","","Energy & Environmental Science","Journal","10.1039/1754-5706/2008","","","1754-5692","1754-5706","","Total_Item_Requests","1","0","0","0","0","0","1"
"Enhancement of La0.6Sr0.4Co0.2Fe0.8O3-d durability and surface electrocatalytic activity by La0.85Sr0.15MnO3±d investigated using a new test electrode platform","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2011","0","10.1039/c1ee01188j","","","1754-5692","1754-5706","","Energy & Environmental Science","Journal","10.1039/1754-5706/2008","","","1754-5692","1754-5706","","Total_Item_Requests","1","0","0","0","0","0","1"
"Methanol production from CO2 using solar-thermal energy: process development and techno-economic analysis","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2011","0","10.1039/c1ee01311d","","","1754-5692","1754-5706","","Energy & Environmental Science","Journal","10.1039/1754-5706/2008","","","1754-5692","1754-5706","","Total_Item_Requests","5","0","0","0","0","0","5"
"Lithium-ion batteries. A look into the future","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2011","0","10.1039/c1ee01388b","","","1754-5692","1754-5706","","Energy & Environmental Science","Journal","10.1039/1754-5706/2008","","","1754-5692","1754-5706","","Total_Item_Requests","3","0","0","0","0","0","3"
"Ultra microelectrodes increase the current density provided by electroactive biofilms by improving their electron transport ability","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2012","0","10.1039/c1ee01469b","","","1754-5692","1754-5706","","Energy & Environmental Science","Journal","10.1039/1754-5706/2008","","","1754-5692","1754-5706","","Total_Item_Requests","1","0","0","0","0","0","1"
"Three-dimensional microchanelled electrodes in flow-through configuration for bioanode formation and current generation","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2011","0","10.1039/c1ee01477c","","","1754-5692","1754-5706","","Energy & Environmental Science","Journal","10.1039/1754-5706/2008","","","1754-5692","1754-5706","","Total_Item_Requests","2","0","0","0","0","0","2"
"Evaluation of Pt, Ni, and Ni–Mo electrocatalysts for hydrogen evolution on crystalline Si electrodes","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2011","0","10.1039/c1ee01488a","","","1754-5692","1754-5706","","Energy & Environmental Science","Journal","10.1039/1754-5706/2008","","","1754-5692","1754-5706","","Total_Item_Requests","1","0","0","0","0","0","1"
"Multiscale molecular simulations of the nanoscale morphologies of P3HT:PCBM blends for bulk heterojunction organic photovoltaic cells","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2011","0","10.1039/c1ee01508g","","","1754-5692","1754-5706","","Energy & Environmental Science","Journal","10.1039/1754-5706/2008","","","1754-5692","1754-5706","","Total_Item_Requests","1","0","0","0","0","0","1"
"Solar hydrogen generation from seawater with a modified BiVO4 photoanode","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2011","0","10.1039/c1ee01812d","","","1754-5692","1754-5706","","Energy & Environmental Science","Journal","10.1039/1754-5706/2008","","","1754-5692","1754-5706","","Total_Item_Requests","2","0","0","0","0","0","2"
"Carbon nanotube-coated macroporous sponge for microbial fuel cell electrodes","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2012","0","10.1039/c1ee02122b","","","1754-5692","1754-5706","","Energy & Environmental Science","Journal","10.1039/1754-5706/2008","","","1754-5692","1754-5706","","Total_Item_Requests","3","0","0","0","0","0","3"
"Live wires: direct extracellular electron exchange for bioenergy and the bioremediation of energy-related contamination","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2011","0","10.1039/c1ee02229f","","","1754-5692","1754-5706","","Energy & Environmental Science","Journal","10.1039/1754-5706/2008","","","1754-5692","1754-5706","","Total_Item_Requests","1","0","0","0","0","0","1"
"Novel insight into neutral medium as electrolyte for high-voltage supercapacitors","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2012","0","10.1039/c1ee02262h","","","1754-5692","1754-5706","","Energy & Environmental Science","Journal","10.1039/1754-5706/2008","","","1754-5692","1754-5706","","Total_Item_Requests","1","0","0","0","0","0","1"
"Carbon coated textiles for flexible energy storage","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2011","0","10.1039/c1ee02421c","","","1754-5692","1754-5706","","Energy & Environmental Science","Journal","10.1039/1754-5706/2008","","","1754-5692","1754-5706","","Total_Item_Requests","2","0","0","0","0","0","2"
"Role of solid oxide fuel cells in a balanced energy strategy","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2012","0","10.1039/c1ee02445k","","","1754-5692","1754-5706","","Energy & Environmental Science","Journal","10.1039/1754-5706/2008","","","1754-5692","1754-5706","","Total_Item_Requests","2","0","0","0","0","0","2"
"Capturing power at higher voltages from arrays of microbial fuel cells without voltage reversal","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2011","0","10.1039/c1ee02451e","","","1754-5692","1754-5706","","Energy & Environmental Science","Journal","10.1039/1754-5706/2008","","","1754-5692","1754-5706","","Total_Item_Requests","2","0","0","0","0","0","2"
"Highly conductive poly(3,4-ethylenedioxythiophene):poly(styrene sulfonate) films treated with an amphiphilic fluoro compound as the transparent electrode of polymer solar cells","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2012","0","10.1039/c1ee02475b","","","1754-5692","1754-5706","","Energy & Environmental Science","Journal","10.1039/1754-5706/2008","","","1754-5692","1754-5706","","Total_Item_Requests","1","0","0","0","0","0","1"
"Perspectives on thermoelectrics: from fundamentals to device applications","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2012","0","10.1039/c1ee02497c","","","1754-5692","1754-5706","","Energy & Environmental Science","Journal","10.1039/1754-5706/2008","","","1754-5692","1754-5706","","Total_Item_Requests","3","0","0","0","0","0","3"
"Solar cells with one-day energy payback for the factories of the future","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2012","0","10.1039/c1ee02728j","","","1754-5692","1754-5706","","Energy & Environmental Science","Journal","10.1039/1754-5706/2008","","","1754-5692","1754-5706","","Total_Item_Requests","1","0","0","0","0","0","1"
"Modifying the barriers for oxygen-vacancy migration in fluorite-structured CeO2 electrolytes through strain: a computer simulation study","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2012","0","10.1039/c2ee02508f","","","1754-5692","1754-5706","","Energy & Environmental Science","Journal","10.1039/1754-5706/2008","","","1754-5692","1754-5706","","Total_Item_Requests","1","0","0","0","0","0","1"
"Computational screening of dopants for photocatalytic two-electron reduction of CO2 on anatase (101) surfaces","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2012","0","10.1039/c2ee02665a","","","1754-5692","1754-5706","","Energy & Environmental Science","Journal","10.1039/1754-5706/2008","","","1754-5692","1754-5706","","Total_Item_Requests","2","0","0","0","0","0","2"
"Nanoscale structure measurements for polymer-fullerene photovoltaics","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2012","0","10.1039/c2ee02725a","","","1754-5692","1754-5706","","Energy & Environmental Science","Journal","10.1039/1754-5706/2008","","","1754-5692","1754-5706","","Total_Item_Requests","2","0","0","0","0","0","2"
"Enhanced chemical stability of VO2 nanoparticles by the formation of SiO2/VO2 core/shell structures and the application to transparent and flexible VO2-based composite foils with excellent thermochromic properti","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2012","0","10.1039/c2ee02803d","","","1754-5692","1754-5706","","Energy & Environmental Science","Journal","10.1039/1754-5706/2008","","","1754-5692","1754-5706","","Total_Item_Requests","1","0","0","0","0","0","1"
"Hydrogen evolution catalyzed by MoS3 and MoS2 particles","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2012","0","10.1039/c2ee02835b","","","1754-5692","1754-5706","","Energy & Environmental Science","Journal","10.1039/1754-5706/2008","","","1754-5692","1754-5706","","Total_Item_Requests","1","0","0","0","0","0","1"
"Surface strontium enrichment on highly active perovskites for oxygen electrocatalysis in solid oxide fuel cells","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2012","0","10.1039/c2ee03397f","","","1754-5692","1754-5706","","Energy & Environmental Science","Journal","10.1039/1754-5706/2008","","","1754-5692","1754-5706","","Total_Item_Requests","1","0","0","0","0","0","1"
"Worldwide innovations in the development of carbon capture technologies and the utilization of CO2","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2012","0","10.1039/c2ee03403d","","","1754-5692","1754-5706","","Energy & Environmental Science","Journal","10.1039/1754-5706/2008","","","1754-5692","1754-5706","","Total_Item_Requests","2","0","0","0","0","0","2"
"Graphene–sponges as high-performance low-cost anodes for microbial fuel cells","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2012","0","10.1039/c2ee03583a","","","1754-5692","1754-5706","","Energy & Environmental Science","Journal","10.1039/1754-5706/2008","","","1754-5692","1754-5706","","Total_Item_Requests","2","0","0","0","0","0","2"
"Atomic layer deposition of vanadium oxide on carbon nanotubes for high-power supercapacitor electrodes","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2012","0","10.1039/c2ee21110f","","","1754-5692","1754-5706","","Energy & Environmental Science","Journal","10.1039/1754-5706/2008","","","1754-5692","1754-5706","","Total_Item_Requests","4","0","0","0","0","0","4"
"New insights into the electrochemical reduction of carbon dioxide on metallic copper surfaces","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2012","0","10.1039/c2ee21234j","","","1754-5692","1754-5706","","Energy & Environmental Science","Journal","10.1039/1754-5706/2008","","","1754-5692","1754-5706","","Total_Item_Requests","14","0","0","0","0","0","14"
"Electrochemical and photoelectrochemical investigation of water oxidation with hematite electrodes","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2012","0","10.1039/c2ee21414h","","","1754-5692","1754-5706","","Energy & Environmental Science","Journal","10.1039/1754-5706/2008","","","1754-5692","1754-5706","","Total_Item_Requests","2","0","0","0","0","0","2"
"Improving the cycling stability of silicon nanowire anodes with conducting polymer coatings","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2012","0","10.1039/c2ee21437g","","","1754-5692","1754-5706","","Energy & Environmental Science","Journal","10.1039/1754-5706/2008","","","1754-5692","1754-5706","","Total_Item_Requests","1","0","0","0","0","0","1"
"Impact of Sr segregation on the electronic structure and oxygen reduction activity of SrTi1-x  Fe  x  O3 surfaces","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2012","0","10.1039/c2ee21463f","","","1754-5692","1754-5706","","Energy & Environmental Science","Journal","10.1039/1754-5706/2008","","","1754-5692","1754-5706","","Total_Item_Requests","3","0","0","0","0","0","3"
"Capacitive desalination with flow-through electrodes","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2012","0","10.1039/c2ee21498a","","","1754-5692","1754-5706","","Energy & Environmental Science","Journal","10.1039/1754-5706/2008","","","1754-5692","1754-5706","","Total_Item_Requests","1","0","0","0","0","0","1"
"Energy consumption and constant current operation in membrane capacitive deionization","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2012","0","10.1039/c2ee21737f","","","1754-5692","1754-5706","","Energy & Environmental Science","Journal","10.1039/1754-5706/2008","","","1754-5692","1754-5706","","Total_Item_Requests","2","0","0","0","0","0","2"
"A review on nanomaterials for environmental remediation","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2012","0","10.1039/c2ee21818f","","","1754-5692","1754-5706","","Energy & Environmental Science","Journal","10.1039/1754-5706/2008","","","1754-5692","1754-5706","","Total_Item_Requests","1","0","0","0","0","0","1"
"Low overpotential water oxidation to hydrogen peroxide on a MnO  x   catalyst","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2012","0","10.1039/c2ee21832a","","","1754-5692","1754-5706","","Energy & Environmental Science","Journal","10.1039/1754-5706/2008","","","1754-5692","1754-5706","","Total_Item_Requests","2","0","0","0","0","0","2"
"New cubic perovskites for one- and two-photon water splitting using the computational materials repository","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2012","0","10.1039/c2ee22341d","","","1754-5692","1754-5706","","Energy & Environmental Science","Journal","10.1039/1754-5706/2008","","","1754-5692","1754-5706","","Total_Item_Requests","1","0","0","0","0","0","1"
"Oxygen electrocatalysts for water electrolyzers and reversible fuel cells: status and perspective","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2012","0","10.1039/c2ee22554a","","","1754-5692","1754-5706","","Energy & Environmental Science","Journal","10.1039/1754-5706/2008","","","1754-5692","1754-5706","","Total_Item_Requests","1","0","0","0","0","0","1"
"Highly conductive PEDOT:PSS electrode by simple film treatment with methanol for ITO-free polymer solar cells","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2012","0","10.1039/c2ee22595f","","","1754-5692","1754-5706","","Energy & Environmental Science","Journal","10.1039/1754-5706/2008","","","1754-5692","1754-5706","","Total_Item_Requests","3","0","0","0","0","0","3"
"A review of techno-economic models for the retrofitting of conventional pulverised-coal power plants for post-combustion capture (PCC) of CO2","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2013","0","10.1039/c2ee22890d","","","1754-5692","1754-5706","","Energy & Environmental Science","Journal","10.1039/1754-5706/2008","","","1754-5692","1754-5706","","Total_Item_Requests","3","0","0","0","0","0","3"
"Conduction band energy determination by variable temperature spectroelectrochemistry","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2012","0","10.1039/c2ee22926a","","","1754-5692","1754-5706","","Energy & Environmental Science","Journal","10.1039/1754-5706/2008","","","1754-5692","1754-5706","","Total_Item_Requests","1","0","0","0","0","0","1"
"Metal organic frameworks for electrochemical applications","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2012","0","10.1039/c2ee22989g","","","1754-5692","1754-5706","","Energy & Environmental Science","Journal","10.1039/1754-5706/2008","","","1754-5692","1754-5706","","Total_Item_Requests","3","0","0","0","0","0","3"
"Modeling low cost hybrid tandem photovoltaics with the potential for efficiencies exceeding 20%","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2012","0","10.1039/c2ee23073a","","","1754-5692","1754-5706","","Energy & Environmental Science","Journal","10.1039/1754-5706/2008","","","1754-5692","1754-5706","","Total_Item_Requests","7","0","0","0","0","0","7"
"Hydrogen-evolution characteristics of Ni–Mo-coated, radial junction, n+p-silicon microwire array photocathodes","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2012","0","10.1039/c2ee23192a","","","1754-5692","1754-5706","","Energy & Environmental Science","Journal","10.1039/1754-5706/2008","","","1754-5692","1754-5706","","Total_Item_Requests","1","0","0","0","0","0","1"
"Layered corrugated electrode macrostructures boost microbial bioelectrocatalysis","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2012","0","10.1039/c2ee23344d","","","1754-5692","1754-5706","","Energy & Environmental Science","Journal","10.1039/1754-5706/2008","","","1754-5692","1754-5706","","Total_Item_Requests","1","0","0","0","0","0","1"
"Lone pair electrons minimize lattice thermal conductivity","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2013","0","10.1039/c2ee23391f","","","1754-5692","1754-5706","","Energy & Environmental Science","Journal","10.1039/1754-5706/2008","","","1754-5692","1754-5706","","Total_Item_Requests","1","0","0","0","0","0","1"
"“In rust we trust”. Hematite – the prospective inorganic backbone for artificial photosynthesis","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2013","0","10.1039/c2ee23668k","","","1754-5692","1754-5706","","Energy & Environmental Science","Journal","10.1039/1754-5706/2008","","","1754-5692","1754-5706","","Total_Item_Requests","1","0","0","0","0","0","1"
"In situ tracking of the nanoscale expansion of porous carbon electrodes","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2013","0","10.1039/c2ee23707e","","","1754-5692","1754-5706","","Energy & Environmental Science","Journal","10.1039/1754-5706/2008","","","1754-5692","1754-5706","","Total_Item_Requests","1","0","0","0","0","0","1"
"Highly active and durable nanostructured molybdenum carbide electrocatalysts for hydrogen production","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2013","0","10.1039/c2ee23891h","","","1754-5692","1754-5706","","Energy & Environmental Science","Journal","10.1039/1754-5706/2008","","","1754-5692","1754-5706","","Total_Item_Requests","2","0","0","0","0","0","2"
"Catalysis for CO2 conversion: a key technology for rapid introduction of renewable energy in the value chain of chemical industries","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2013","0","10.1039/c3ee00056g","","","1754-5692","1754-5706","","Energy & Environmental Science","Journal","10.1039/1754-5706/2008","","","1754-5692","1754-5706","","Total_Item_Requests","1","0","0","0","0","0","1"
"Self-assembly of layered double hydroxide 2D nanoplates with graphene nanosheets: an effective way to improve the photocatalytic activity of 2D nanostructured materials for visible light-induced O2 generation","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2013","0","10.1039/c3ee23989f","","","1754-5692","1754-5706","","Energy & Environmental Science","Journal","10.1039/1754-5706/2008","","","1754-5692","1754-5706","","Total_Item_Requests","1","0","0","0","0","0","1"
"Technical and economic feasibility of centralized facilities for solar hydrogen production via photocatalysis and photoelectrochemistry","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2013","0","10.1039/c3ee40831k","","","1754-5692","1754-5706","","Energy & Environmental Science","Journal","10.1039/1754-5706/2008","","","1754-5692","1754-5706","","Total_Item_Requests","1","0","0","0","0","0","1"
"3D nanostructured conductive polymer hydrogels for high-performance electrochemical devices","Royal Society of Chemistry","","rsc.org","Royal Society of Chemistry","2013","0","10.1039/c3ee40997j","","","1754-5692","1754-5706","","Energy & Environmental Science","Journal","10.1039/1754-5706/2008","","","1754-5692","1754-5706","","Total_Item_Requests","1","0","0","0","0","0","1"
